Onset_Date;Onset_Time;Offset_Date;Offset_Time;Duration_Date;Duration_Time;Supporting behavior;Single_gaze;Share;Avert;Mutual;Refer;Follow;Transcript
0d;546,56;0d;582,24;0d;35,72;;;Share - CT;;;;;<BR>
0d;582,24;0d;582,88;0d;0,68;;;;;Mutual - CP;;;
0d;582,96;0d;583,16;0d;0,24;;;;Avert - CP;;;;
0d;583,16;0d;584,88;0d;1,76;;Single gaze - C;;;;;;
0d;584,88;0d;589,76;0d;4,92;;;Share - CT;;;;;<BR>
0d;589,8;0d;589,88;0d;0,12;;;;Avert - CT;;;;
0d;589,88;0d;599,92;0d;10,08;;Single gaze - C;;;;;;
0d;599,8;0d;599,88;0d;0,12;;;;;;Refer -T;;
0d;599,92;0d;600,04;0d;0,16;;;;;Mutual - CT;;;
0d;600;0d;600,08;0d;0,12;;;;;;;Follow - CT;
0d;600,08;0d;602,28;0d;2,24;;;Share - CT;;;;;<BR>
0d;602,28;0d;602,4;0d;0,16;;;;Avert - CT;;;;
0d;602,4;0d;605,84;0d;3,48;;Single gaze - C;;;;;;
0d;605,12;0d;605,84;0d;0,76;;;;;;Refer - T;;
0d;605,88;0d;615,28;0d;9,44;;;Share - CT;;;;;<BR>
0d;615,32;0d;615,36;0d;0,08;;;;Avert - CT;;;;
0d;615,36;0d;616,48;0d;1,16;;Single gaze - C;;;;;;
0d;616,48;0d;617,24;0d;0,8;;;;;Mutual - CP;;;
0d;617,28;0d;617,28;0d;0,04;;;;Avert - P;;;;
0d;617,32;0d;617,44;0d;0,16;;Single gaze - C;;;;;;
0d;617,44;0d;619,12;0d;1,72;;;;;Mutual - CP;;;
0d;619,16;0d;619,28;0d;0,16;;;;Avert - P;;;;
0d;619,2;0d;620,52;0d;1,36;;Single gaze - C;;;;;;
0d;620,56;0d;620,56;0d;0,04;;;;;;;;Kind nicht einsehbar <BR>
0d;622,16;0d;629,52;0d;7,4;;Single gaze - C;;;;;;
0d;629,56;0d;629,56;0d;0,04;;;;;;;;Kind nicht einsehbar<BR>
0d;633,04;0d;635,4;0d;2,4;;;;;;Refer - P;;
0d;635,76;0d;637,64;0d;1,92;;;;;;Refer - P;;
0d;633,12;0d;634,08;0d;1;;Single gaze - C;;;;;;
